Date,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CA1,CM1,CM2,CS1,CS2,CB1,CB2,CP1
01/10/2012,660,607,745,817,861,849,501,817,536,,,,,,,
01/04/2013,"1,037",816,"1,010","1,003",938,920,576,746,968,,,,,,,
01/10/2013,652,622,730,921,988,878,625,780,568,,,,,,,
01/04/2014,939,842,905,887,799,835,646,905,"1,044",,,,,,,
01/10/2014,442,529,786,834,931,859,612,780,600,,,,,,,
01/04/2015,768,800,"1,028",965,941,865,575,712,"1,007",,,,,,,
01/10/2015,522,656,896,932,990,"1,078",571,759,622,,,,,,,
01/04/2016,877,800,"1,040","1,005","1,015","1,005",574,768,970,,,,,,,
01/10/2016,433,760,882,"1,023","1,238","1,243",678,837,656,,,,,,,
01/04/2017,845,866,"1,172","1,237","1,300","1,254",672,827,"1,043",,,,,,,
01/10/2017,630,682,779,"1,260","1,771","1,173",676,902,623,,,,,,,
01/04/2018,774,772,"1,048","1,550","3,068","1,123",587,918,"1,058",,,,,,,
01/10/2018,177,"1,009","1,082","1,037","2,332",539,988,"1,734",632,,,,,,,
01/04/2019,,,,,,,,,,"1,251","1,016",622,"1,023","1,157",802,"1,080"
01/10/2019,,,,,,,,,,906,"1,192",549,973,"1,003",802,670
01/04/2020,,,,,,,,,,,,,,774,629,997
01/10/2020,,,,,,,,,,"1,717","1,450","1,189","1,363","1,037","1,079",878
01/04/2021,,,,,,,,,,"1,856","1,309","1,482","1,422","1,213",934,"1,117"
01/10/2021,,,,,,,,,,"1,344","1,398","1,372","1,264","1,015",833,708
01/04/2022,,,,,,,,,,"1,644","1,338","1,311","1,175","1,077",795,"1,187"
01/10/2022,,,,,,,,,,"1,419","1,301","1,302",978,921,859,700
01/04/2023,,,,,,,,,,"1,903","1,297","1,460","1,226","1,080",833,"1,360"
01/10/2023,,,,,,,,,,"1,557","1,261","1,508",993,"1,112","1,115",802
